Size,Entropy,Rank
Qwen2.5-32B,211.04091,2.4438617
Qwen2.5-32B,210.7287,0.99909186
Qwen2.5-32B,220.48763,1.5527377
Qwen2.5-32B,221.76152,1.0688813
Qwen2.5-32B,211.83852,2.4165673
Qwen2.5-32B,220.90417,1.0311315
Qwen2.5-32B,225.31015,1.5546591
Qwen2.5-32B,218.3669,1.0550488
Qwen2.5-32B,206.70657,2.5372057
Qwen2.5-32B,218.1647,1.7040635
Qwen2.5-32B,226.8718,1.1877462
Qwen2.5-32B,220.84195,1.2252232
Qwen2.5-32B,214.40666,1.5228782
Qwen2.5-32B,213.89404,1.5457625
Qwen2.5-32B,236.6772,1.2320696
Qwen2.5-32B,220.17204,1.164477
Qwen2.5-32B,222.98224,1.6874387
Qwen2.5-32B,212.75449,1.5330856
Qwen2.5-32B,233.1658,1.2605858
Qwen2.5-32B,221.07744,1.1849
Qwen2.5-32B,215.89401,1.6853466
Qwen2.5-32B,213.2851,1.5301287
Qwen2.5-32B,242.04276,1.2832706
Qwen2.5-32B,217.19885,1.1937596
Qwen2.5-32B,218.33945,1.7199928
Qwen2.5-32B,218.14134,1.3524891
Qwen2.5-32B,228.44955,1.4564941
Qwen2.5-32B,218.34595,1.2072592
Qwen2.5-32B,213.34915,2.1297626
Qwen2.5-32B,210.23087,1.2240952
Qwen2.5-32B,215.24141,1.5044463
Qwen2.5-32B,220.16248,1.1553518
Qwen2.5-32B,215.8617,2.0937786
Qwen2.5-32B,218.3146,1.2614067
Qwen2.5-32B,218.94434,1.4854734
Qwen2.5-32B,217.9426,1.1874516
Qwen2.5-32B,210.60406,2.1422486
Qwen2.5-32B,209.35474,1.2296479
Qwen2.5-32B,219.50562,1.489362
Qwen2.5-32B,218.58707,1.204067
Qwen2.5-32B,211.27492,2.0645075
Qwen2.5-32B,208.62962,1.5293177
Qwen2.5-32B,233.66714,1.2996893
Qwen2.5-32B,219.86353,1.1898502
Qwen2.5-32B,215.11862,1.7389269
Qwen2.5-32B,208.16501,1.572032
Qwen2.5-32B,223.64323,1.2608178
Qwen2.5-32B,219.33493,1.1849267
Qwen2.5-32B,211.87265,1.7103199
Qwen2.5-32B,214.59067,1.6136224
Qwen2.5-32B,231.15213,1.2498231
Qwen2.5-32B,217.97603,1.2250487
Qwen2.5-32B,216.9873,1.5833334
Qwen2.5-32B,219.25354,1.5547628
Qwen2.5-32B,223.5435,1.2692322
Qwen2.5-32B,223.88052,1.1843437
Qwen2.5-32B,216.89099,1.6656868
Qwen2.5-32B,209.90326,1.4804877
Qwen2.5-32B,230.17392,1.3829825
Qwen2.5-32B,211.36499,1.234878
Qwen2.5-32B,208.9123,1.9411274
Qwen2.5-32B,213.60016,1.2417371
Qwen2.5-32B,213.75728,1.4118965
Qwen2.5-32B,220.83374,1.1581379
Qwen2.5-32B,205.2016,2.0252938
Qwen2.5-32B,222.11316,1.3596913
Qwen2.5-32B,219.279,1.4737598
Qwen2.5-32B,215.1752,1.2128267
Qwen2.5-32B,211.23941,1.9436281
Qwen2.5-32B,213.24506,1.3502496
Qwen2.5-32B,234.77376,1.4370089
Qwen2.5-32B,217.4614,1.2214711
Qwen2.5-32B,218.49118,1.9858236
Qwen2.5-32B,219.90182,1.5794799
Qwen2.5-32B,224.0441,1.2810822
Qwen2.5-32B,218.41158,1.1650584
Qwen2.5-32B,220.13173,1.6633204
Qwen2.5-32B,212.37015,1.5841676
Qwen2.5-32B,214.10526,1.2237108
Qwen2.5-32B,218.7004,1.1297045
Qwen2.5-32B,212.11633,1.6016499
Qwen2.5-32B,214.0362,1.6211727
Qwen2.5-32B,214.44748,1.2107708
Qwen2.5-32B,216.55527,1.163831
Qwen2.5-32B,223.21849,1.5103152
Qwen2.5-32B,223.43454,1.6066186
Qwen2.5-32B,213.41997,1.2151681
Qwen2.5-32B,217.7697,1.1500113
Qwen2.5-32B,215.83676,1.5764403
Qwen2.5-32B,214.28944,1.4310848
Qwen2.5-32B,235.39673,1.3768634
Qwen2.5-32B,217.06802,1.1920474
Qwen2.5-32B,227.65729,1.9166778
Qwen2.5-32B,217.37135,1.4035031
Qwen2.5-32B,227.87871,1.4358591
Qwen2.5-32B,221.606,1.2129151
Qwen2.5-32B,209.49103,1.9278567
Qwen2.5-32B,221.13062,1.3782763
Qwen2.5-32B,233.13174,1.4115725
Qwen2.5-32B,220.49297,1.1909425
Qwen2.5-32B,215.04523,1.954626
Qwen2.5-32B,214.78441,1.3042128
Qwen2.5-32B,217.46323,1.4247348
Qwen2.5-32B,214.96255,1.1712568
Qwen2.5-32B,210.63315,1.9226779
Qwen2.5-32B,190.13667,1.0480086
Qwen2.5-32B,218.29272,1.065464
Qwen2.5-32B,178.87306,0.55372393
Qwen2.5-32B,194.27133,1.0633793
Qwen2.5-32B,216.4498,1.2732961
Qwen2.5-32B,234.4133,1.1888034
Qwen2.5-32B,204.89876,0.7584133
Qwen2.5-32B,213.15494,1.3358573
Qwen2.5-32B,211.29703,1.550589
Qwen2.5-32B,216.86856,1.2430009
Qwen2.5-32B,211.49869,0.9905183
Qwen2.5-32B,211.89243,1.4616528
Qwen2.5-32B,219.42717,1.5308436
Qwen2.5-32B,224.4102,1.2231923
Qwen2.5-32B,216.80753,1.0290549
Qwen2.5-32B,226.72931,1.5343978
Qwen2.5-32B,215.54514,1.1075001
Qwen2.5-32B,228.29375,1.3331316
Qwen2.5-32B,217.37598,1.1405522
Qwen2.5-32B,203.62566,1.8661731
Qwen2.5-32B,202.65663,1.5178337
Qwen2.5-32B,222.2459,1.2391434
Qwen2.5-32B,218.2553,1.1637111
Qwen2.5-32B,213.86844,1.6212811
Qwen2.5-32B,220.79204,1.5280327
Qwen2.5-32B,240.02902,1.21698
Qwen2.5-32B,221.39702,1.1561636
Qwen2.5-32B,223.13228,1.5980415
Qwen2.5-32B,213.71274,1.6080391
Qwen2.5-32B,241.42256,1.2207057
Qwen2.5-32B,217.45706,1.2093304
Qwen2.5-32B,229.70056,1.5970107
Qwen2.5-32B,211.99985,1.4687529
Qwen2.5-32B,248.87817,1.2943609
Qwen2.5-32B,220.30405,1.1699013
Qwen2.5-32B,214.62851,1.7359269
Qwen2.5-32B,223.1057,1.6821272
Qwen2.5-32B,215.53113,1.2683655
Qwen2.5-32B,224.8081,1.2380295
Qwen2.5-32B,223.81169,1.5955417
Qwen2.5-32B,220.258,1.5729336
Qwen2.5-32B,221.63098,1.2756348
Qwen2.5-32B,221.3171,1.1241452
Qwen2.5-32B,224.12846,1.6199282
Qwen2.5-32B,223.48569,1.5240495
Qwen2.5-32B,213.59639,1.1872619
Qwen2.5-32B,220.56326,1.0357819
Qwen2.5-32B,220.36258,1.561479
Qwen2.5-32B,232.02199,1.5578195
Qwen2.5-32B,218.71347,1.2565327
Qwen2.5-32B,222.48282,1.116636
Qwen2.5-32B,215.1036,1.6345862
Qwen2.5-14B,214.82295,1.5232434
Qwen2.5-14B,234.57419,1.0590945
Qwen2.5-14B,215.02942,1.1255221
Qwen2.5-14B,212.28798,1.2770212
Qwen2.5-14B,213.73541,1.544529
Qwen2.5-14B,251.26118,1.037944
Qwen2.5-14B,220.83296,1.1318405
Qwen2.5-14B,221.856,1.2378769
Qwen2.5-14B,215.22678,1.605787
Qwen2.5-14B,251.51208,1.0432155
Qwen2.5-14B,219.27026,1.166907
Qwen2.5-14B,217.71713,1.2296329
Qwen2.5-14B,230.53818,1.4983582
Qwen2.5-14B,256.5572,1.0990546
Qwen2.5-14B,223.12337,1.1394422
Qwen2.5-14B,210.44302,1.3257703
Qwen2.5-14B,212.58794,1.4556344
Qwen2.5-14B,270.76086,1.1283234
